2023-05-20 21:19:21,895 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:19:21,990 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getMe HTTP/1.1" 200 201
2023-05-20 21:19:21,993 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:19:38,225 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 357
2023-05-20 21:19:38,231 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): api.telegram.org:443
2023-05-20 21:19:38,373 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "POST /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/sendMessage?chat_id=5908645032&text=%0AEs+gibt+momentan+folgende+Optionen%3A%0A%0A%2Fhelp++++Zeigt+dir+alle+Einstellungen.%0A%2Fstart+++Startet+den+Evaluierungsprozess+zum+Anmelden%21%0A%0A%2Fpassphrase++++Geben+Sie+die+Passphrase+ein+um+ihren+Chat+zu+authorisieren.%0A%2Fregister++++++Registrieren+Sie+sich+f%C3%BCr+den+AI+Assistenten.%0A%0AWeitere+folgen+in+k%C3%BCrze...%0A&reply_to_message_id=440 HTTP/1.1" 200 1078
2023-05-20 21:19:58,252 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:20:18,273 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:20:38,310 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:20:58,333 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:21:18,354 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:21:38,377 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:21:58,398 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:22:18,420 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
2023-05-20 21:22:38,442 | urllib3.connectionpool | DEBUG | https://api.telegram.org:443 "GET /bot5655481863:AAFbOqRbN6dQHH9ITr-IRZP6q1_eIuCXVOU/getUpdates?offset=686447846&timeout=20 HTTP/1.1" 200 23
